X,doX,Ci1,Ci2,P_X0_Y0,P_Y1_DX1,SL_RF_ATE,SL_DNN_ATE,TL_RF_ATE,TL_DNN_ATE
X15,0.7317259297473776,0.6499352987898122,0.8162943384827208,0.6519607843137255,0.47705661106079034,0.0,0.005555555555555556,0.0763888888888889,0.020833333333333332
X16,0.8907260308719288,0.8384480993868245,0.9435613656583387,0.46078431372549017,0.41043258285275147,-0.002777777777777778,0.058333333333333334,0.2722222222222222,0.20694444444444443
X17,0.8055207673101202,0.7285048697414245,0.8853144426565939,0.6421568627450981,0.517270688811891,0.03611111111111111,0.02361111111111111,0.2611111111111111,0.21388888888888888
X18,0.5950242449604289,0.571477595426874,0.617856470392463,0.0024509803921568627,0.0014583927572559532,0.002777777777777778,0.008333333333333333,-0.18472222222222223,-0.1527777777777778
X19,0.6681137960741856,0.5756957118418955,0.7564508300781653,0.5024509803921569,0.3356944318510001,-0.005555555555555556,-0.015277777777777777,0.1736111111111111,0.09722222222222222
X20,0.5153103878885246,0.5070561845534675,0.5234954922738856,0.0,0.0,-0.001388888888888889,-0.029166666666666667,-0.5541666666666667,-0.4083333333333333
X21,0.8502679945800052,0.7939713105081233,0.9050261250120403,0.28921568627450983,0.2459108415697074,0.015277777777777777,0.05694444444444444,0.3125,0.17916666666666667
X22,0.5926818178995759,0.5777797133764515,0.607345468607439,0.0,0.0,-0.001388888888888889,0.0,-0.006944444444444444,-0.09444444444444444
X23,0.7274176580470512,0.5844220072422146,0.8731910866296656,0.8333333333333334,0.606181381705876,-0.001388888888888889,-0.002777777777777778,0.07222222222222222,0.29583333333333334
X24,0.6879561832266666,0.3462378240449144,1.0324523201861966,0.928921568627451,0.6390573368698693,0.0,0.020833333333333332,-0.18333333333333332,0.030555555555555555
X25,0.5945596957265863,0.5836087087546183,0.6055411658566094,0.007352941176470588,0.00437176246857784,0.0,-0.018055555555555554,-0.1986111111111111,0.06111111111111111
X26,0.6465248804569274,0.5748202664927833,0.7157506376115059,0.553921568627451,0.35812407593937645,-0.001388888888888889,0.001388888888888889,-0.24027777777777778,0.005555555555555556
X27,0.8000551918790101,0.7518996712213458,0.8509884903144519,0.42892156862745096,0.34316092788928126,0.0,0.02361111111111111,-0.06666666666666667,-0.05416666666666667
X28,0.6876886483480245,0.6053351834712101,0.7728198910026166,0.6323529411764706,0.4348619393965449,-0.001388888888888889,-0.02361111111111111,-0.2125,-0.1
X29,0.768715932086458,0.5103893644700616,1.0298202774806327,0.9926470588235294,0.7630636090564106,-0.009722222222222222,0.020833333333333332,0.625,0.5222222222222223
X30,0.7755594177677058,0.7548637552399808,0.7957442246121613,0.0,0.0,0.001388888888888889,-0.004166666666666667,0.08888888888888889,-0.006944444444444444
X31,0.6784771622712575,0.6541379902701743,0.7037465310743088,0.0,0.0,-0.005555555555555556,-0.019444444444444445,0.07361111111111111,0.11805555555555555
X32,0.8746297762301264,0.821210449555839,0.9308268806821913,0.5122549019607843,0.4480333902747461,0.006944444444444444,0.0375,0.275,0.2125
X33,0.741867373183188,0.7280383642684252,0.7558002242578677,0.0,0.0,-0.005555555555555556,0.041666666666666664,-0.17916666666666667,-0.1625
X34,0.7328287582588577,0.7195437581427152,0.7460263318927238,0.02696078431372549,0.019757638090312342,0.0,0.002777777777777778,0.05416666666666667,0.12361111111111112
X35,0.7697530939874699,0.7445125501049124,0.7930700593619422,0.0,0.0,-0.011111111111111112,-0.034722222222222224,-0.2111111111111111,-0.11944444444444445
X36,0.6151888358135609,0.5557771242872329,0.6719945138870814,0.2034313725490196,0.12514870924638616,-0.006944444444444444,-0.005555555555555556,-0.02638888888888889,0.05416666666666667
X37,0.9517425765155694,0.9364563684006435,0.9667766414131476,0.0,0.0,0.008333333333333333,0.044444444444444446,-0.009722222222222222,0.12361111111111112
X38,0.865124508669942,0.8557051148334274,0.8744988786242233,0.02696078431372549,0.023324435282768043,0.0,0.0125,0.425,0.43472222222222223
X39,0.2838001540459225,0.2703588167229285,0.2971499600094767,0.0,0.0,-0.001388888888888889,-0.0125,-0.5833333333333334,-0.5916666666666667
X40,0.7078711960158222,0.6792603760056704,0.7360782564284097,0.10294117647058823,0.0728690937075111,0.001388888888888889,-0.005555555555555556,-0.21944444444444444,-0.2861111111111111
X41,0.7345415044844428,0.7163409794945269,0.7539932997995616,0.04411764705882353,0.032406242844901886,0.001388888888888889,0.001388888888888889,-0.17916666666666667,-0.16944444444444445
X42,0.6777699944351583,0.5812155219366544,0.7771022447114398,0.7156862745098039,0.485070682291829,-0.002777777777777778,-0.018055555555555554,-0.02638888888888889,0.08333333333333333
X43,0.718662080454723,0.3792587134655995,1.0608432252216242,0.9877450980392157,0.7098549471158171,-0.001388888888888889,-0.015277777777777777,0.4305555555555556,0.3541666666666667
X44,0.7278963289717834,0.1296390069497685,1.3289314287715759,1.0,0.7278963289717834,0.0,0.05416666666666667,0.5916666666666667,0.5791666666666667
